task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price,d_hotel_id,d_name,d_stars,d_neighborhood,d_review_score,d_review_count,d_room_type,d_cancellation_free,d_breakfast_included,d_amenities,d_price,e_hotel_id,e_name,e_stars,e_neighborhood,e_review_score,e_review_count,e_room_type,e_cancellation_free,e_breakfast_included,e_amenities,e_price
71,fiveopt,71,1,29,Park Central Hotel New York,4,Midtown,7.5,3935,Superior King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,293,66,The Plaza,5,Midtown,8.4,3963,Deluxe King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1093,90,InterContinental New York Times Square,5,Times Square,8.3,2804,Premium King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,542,131,Freehand New York,3,Flatiron,8.1,1836,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar; Rooftop,130,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.4,678,King Room (1 king bed),1,1,Free WiFi; Restaurant,419
72,fiveopt,72,1,67,Equinox Hotel New York,5,Hudson Yards,8.7,836,Premium King (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,910,71,Hampton Inn Manhattan-35th St/Empire State Bldg,3,Midtown,8.1,2326,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,230,76,Hilton Garden Inn New York/Manhattan-Chelsea,3,Chelsea,7.8,1738,Double Room (2 double beds),0,1,Free WiFi; Restaurant; Fitness center; Business center,174,89,Crowne Plaza Times Square Manhattan,4,Times Square,7.5,4603,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant; Bar,340,176,Conrad New York Downtown,5,Financial District,8.5,2044,King Suite (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,529
73,fiveopt,73,1,14,Margaritaville Resort Times Square,3,Midtown West,7.7,2053,Standard Double (2 double beds),1,0,Free WiFi; Pool; Bar; Restaurant,187,26,Hyatt House New York/Chelsea,3,Chelsea,8.3,1922,One-Bedroom Suite (1 king bed),1,0,Free WiFi; Kitchen; Fitness center; Breakfast,172,141,The Greenwich Hotel,5,TriBeCa,9.4,489,King Room (1 king bed),1,0,Free WiFi; Restaurant; Spa; Pool; Fitness center,911,152,Arlo Midtown,3,Times Square,8.2,1706,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,188,168,The Boro Hotel,4,"Long Island City, Queens",8.5,830,Queen Room (1 queen bed),0,0,Free WiFi; Bar; Manhattan views,212
74,fiveopt,74,1,45,Hotel Scherman,4,Midtown,8.4,677,Deluxe Room (1 queen bed),1,1,Free WiFi; Continental breakfast; City views,385,66,The Plaza,5,Midtown,8.4,3939,Deluxe King (1 king bed),0,1,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1006,120,Hyatt Place New York/Chelsea,3,Chelsea,7.8,1284,King Room (1 king bed),1,0,Free WiFi; Breakfast; Fitness center,171,144,1 Hotel Central Park,5,Midtown,8.8,1094,King Room (1 king bed),1,0,Free WiFi; Restaurant; Spa; Fitness center,604,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.3,700,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,280
75,fiveopt,75,1,87,Holiday Inn Express Manhattan Times Square,3,Times Square,7.9,2670,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,282,109,W New York - Union Square,4,Union Square,8.3,1566,Wonderful King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,462,121,Hyatt Regency Times Square,4,Times Square,8.0,2716,Double Room (2 double beds),1,1,Free WiFi; Fitness center; Restaurant; Bar,224,148,"The Carlyle, A Rosewood Hotel",5,Upper East Side,9.1,617,Superior King (1 king bed),0,1,Free WiFi; Spa; Restaurant; Live jazz; Fitness center,1056,150,The Peninsula New York,5,Midtown,9.1,841,Deluxe King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1114
76,fiveopt,76,1,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.1,3411,Suite (2 double beds),0,1,Free WiFi; Breakfast; Fitness center,192,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.3,2077,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Business center,202,148,"The Carlyle, A Rosewood Hotel",5,Upper East Side,9.0,565,Deluxe King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Live jazz; Fitness center,1023,151,The St. Regis New York,5,Midtown,9.1,1077,Superior King (1 king bed),1,1,Free WiFi; Butler service; Restaurant; Bar; Fitness center,747,163,The Williamsburg Hotel,4,"Williamsburg, Brooklyn",8.2,891,Queen Room (1 queen bed),0,0,Free WiFi; Pool; Restaurant; Bar,279
77,fiveopt,77,1,43,Arlo NoMad,4,NoMad,8.1,2420,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,255,44,CIVILIAN Hotel,4,Midtown West,8.7,1452,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar,347,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.4,3212,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,237,70,Hampton Inn Manhattan Grand Central,3,Midtown East,8.3,2401,King Room (1 king bed),0,1,Free WiFi; Breakfast included; Fitness center,243,109,W New York - Union Square,4,Union Square,8.2,1558,Spectacular King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,443
78,fiveopt,78,1,19,Romer Hell's Kitchen,3,Hell's Kitchen,8.1,699,Studio King (1 king bed),1,0,Free WiFi; Fitness center,265,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.0,3383,Suite (2 double beds),1,0,Free WiFi; Breakfast; Fitness center,151,27,citizenM New York Bowery,4,Lower East Side,8.7,3063,citizenM King Room (1 king bed),1,1,Free WiFi; Rain shower; Rooftop bar; Smart TV,270,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.7,2119,King Room (1 king bed),1,1,Free WiFi; Fitness center; Restaurant; Bar,263,111,The Westin New York at Times Square,4,Times Square,8.1,4348,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Bar,220
79,fiveopt,79,1,33,MADE Hotel,4,Midtown,8.9,1982,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Allergy-free rooms,283,57,Sofitel New York,5,Midtown,8.4,2266,Superior King (1 king bed),1,1,Free WiFi; Restaurant; Spa; Fitness center,529,112,Sheraton New York Times Square Hotel,4,Times Square,7.4,5015,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,224,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.4,644,King Room (1 king bed),0,0,Free WiFi; Restaurant,381,159,Smyth Tribeca,4,TriBeCa,8.3,640,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,393
80,fiveopt,80,1,11,Moxy NYC Lower East Side,3,Lower East Side,8.4,1309,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,270,36,Bryant Park Hotel,4,Midtown,8.4,1651,Deluxe Queen (1 queen bed),1,0,Free WiFi; Fitness center,264,80,DoubleTree by Hilton New York Times Square South,4,Times Square,7.7,2572,Double Room (2 double beds),1,1,Free WiFi; Restaurant; Fitness center,312,108,W New York - Times Square,4,Times Square,8.0,2832,Wonderful King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,269,172,New York Marriott Downtown,4,Financial District,8.0,3034,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,282
81,fiveopt,81,1,83,Holiday Inn New York City - Times Square,3,Times Square,7.8,3726,Double Room (2 double beds),1,0,Free WiFi; Fitness center,169,108,W New York - Times Square,4,Times Square,7.6,2848,Spectacular King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,271,138,The Standard East Village,4,East Village,8.3,1309,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar,306,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",7.9,827,Queen Room (1 queen bed),1,0,Free WiFi; Pool; Restaurant,213,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.0,2657,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant; Bar,345
82,fiveopt,82,1,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.1,2825,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant,314,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.2,1881,King Room (1 king bed),0,1,Free WiFi; Restaurant; Fitness center; Business center,308,81,DoubleTree by Hilton NYC Financial District,4,Financial District,8.1,1989,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center,291,102,Fairfield Inn & Suites New York Manhattan/Downtown East,3,Lower East Side,8.0,954,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,261,127,Days Inn by Wyndham NYC Midtown 45,2,Midtown,6.7,2319,King Room (1 king bed),0,0,Free WiFi,128
83,fiveopt,83,1,15,Millennium Broadway Times Square,3,Times Square,7.3,4118,Superior King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,156,31,New Yorker by Lotte Hotels,4,Midtown,8.8,15651,Deluxe King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,349,66,The Plaza,5,Midtown,8.3,3440,Deluxe King (1 king bed),1,1,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,806,72,Hampton Inn Manhattan-Seaport/Financial District,3,Financial District,7.9,1944,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,192,122,Park Hyatt New York,5,Midtown,9.1,825,Park Deluxe King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,820
84,fiveopt,84,1,2,Pod 39,3,Murray Hill,8.1,2644,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,92,44,CIVILIAN Hotel,4,Midtown West,8.8,1347,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar,174,136,The Bowery Hotel,4,East Village,8.9,830,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fireplace lounge,438,146,Mandarin Oriental New York,5,Upper West Side,9.1,1081,Hudson River View King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,936,148,"The Carlyle, A Rosewood Hotel",5,Upper East Side,9.2,635,Superior King (1 king bed),0,0,Free WiFi; Spa; Restaurant; Live jazz; Fitness center,895
85,fiveopt,85,1,33,MADE Hotel,4,Midtown,8.8,2071,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Allergy-free rooms,267,56,The Knickerbocker,5,Times Square,8.6,1841,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,272,145,The Langham New York Fifth Avenue,5,Midtown,8.9,713,Deluxe King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,951,151,The St. Regis New York,5,Midtown,9.0,991,Grand Deluxe King (1 king bed),0,0,Free WiFi; Butler service; Restaurant; Bar; Fitness center,939,156,The Hoxton Williamsburg,4,"Williamsburg, Brooklyn",8.4,981,King Room (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar,250
86,fiveopt,86,1,16,Broadway Plaza Hotel,3,Upper West Side,9.4,1987,Studio (1 queen bed),0,0,Free WiFi; Kitchenette,135,17,The Hotel at Fifth Avenue,3,Midtown,8.2,1902,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center,169,34,Public Hotel,4,Lower East Side,8.3,1927,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Fitness center; Bar,162,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.5,2004,Double Room (2 double beds),0,1,Free WiFi; Fitness center; Restaurant; Bar,216,126,Ramada by Wyndham New York/Eastside,2,Midtown East,6.7,1900,Queen Room (1 queen bed),0,0,Free WiFi,156
87,fiveopt,87,1,7,voco Times Square South,3,Hell's Kitchen,7.8,1408,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Fitness center,123,105,Residence Inn New York Downtown Manhattan,3,Financial District,8.0,1103,Studio Suite (1 king bed),1,1,Free WiFi; Breakfast included; Kitchen; Fitness center,272,110,The Westin New York Grand Central,4,Midtown East,8.2,3368,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,263,111,The Westin New York at Times Square,4,Times Square,7.9,3732,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Bar,326,131,Freehand New York,3,Flatiron,8.1,1662,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Rooftop,131
88,fiveopt,88,1,15,Millennium Broadway Times Square,3,Times Square,7.3,3451,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center; Restaurant,129,27,citizenM New York Bowery,4,Lower East Side,8.8,2999,citizenM King Room (1 king bed),0,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,198,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.8,3217,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center,239,111,The Westin New York at Times Square,4,Times Square,7.9,4488,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Bar,269,178,Loews Regency Hotel New York,5,Upper East Side,8.8,1085,Deluxe King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,541
89,fiveopt,89,1,5,Carlton Arms Hotel,2,Gramercy,7.4,928,Standard Room (1 twin bed),0,0,Free WiFi,154,14,Margaritaville Resort Times Square,3,Midtown West,7.7,2403,Standard Double (2 double beds),1,0,Free WiFi; Pool; Bar; Restaurant,177,128,La Quinta Inn & Suites New York Times Square South,2,Midtown,7.3,1655,King Room (1 king bed),0,0,Free WiFi; Breakfast,137,133,HI New York City Hostel,1,Upper West Side,7.0,3406,Private Room (1 double bed),0,0,Free WiFi; Shared kitchen; Lounge,70,140,NoMo SoHo,4,SoHo,8.3,1197,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar,308
90,fiveopt,90,1,23,Hilton Garden Inn New York/West 35th Street,3,Midtown,8.4,2934,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Business center,238,51,Nine Orchard,4,Lower East Side,8.9,799,Deluxe King (1 king bed),1,1,Free WiFi; Restaurant; Spa,252,57,Sofitel New York,5,Midtown,8.7,2385,Superior King (1 king bed),0,0,Free WiFi; Restaurant; Spa; Fitness center,517,84,Holiday Inn NYC - Lower East Side,3,Lower East Side,7.6,1488,Double Room (2 double beds),1,0,Free WiFi; Fitness center,228,105,Residence Inn New York Downtown Manhattan,3,Financial District,8.1,1015,Studio Suite (1 king bed),1,1,Free WiFi; Breakfast included; Kitchen; Fitness center,194
91,fiveopt,91,1,10,Moxy NYC Downtown,3,Financial District,8.1,1689,King Room (1 king bed),1,0,Free WiFi; Fitness center; Bar; Restaurant,192,71,Hampton Inn Manhattan-35th St/Empire State Bldg,3,Midtown,8.1,2514,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,210,104,Residence Inn New York Manhattan/Midtown East,3,Midtown East,8.2,1318,Studio Suite (1 king bed),1,1,Free WiFi; Breakfast included; Kitchen; Fitness center,297,126,Ramada by Wyndham New York/Eastside,2,Midtown East,7.0,1864,Queen Room (1 queen bed),0,0,Free WiFi,100,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.1,2994,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant; Bar,389
92,fiveopt,92,1,68,Hampton Inn Manhattan-Chelsea,3,Chelsea,8.4,2868,King Room (1 king bed),0,1,Free WiFi; Breakfast included; Fitness center,271,94,EVEN Hotel New York - Times Square South,3,Midtown,8.5,1355,Queen Room (1 queen bed),0,0,Free WiFi; Fitness center; In-room training zone,175,100,Fairfield Inn & Suites New York Manhattan/Chelsea,3,Chelsea,8.1,1681,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,254,113,Sheraton Tribeca New York Hotel,4,TriBeCa,8.2,1755,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,245,161,Wythe Hotel,4,"Williamsburg, Brooklyn",8.7,1142,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Rooftop bar,230
93,fiveopt,93,1,43,Arlo NoMad,4,NoMad,8.3,2730,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,227,47,Embassy Suites Manhattan Times Square,4,Times Square,8.3,3569,Double Suite (2 double beds),1,1,Free WiFi; Breakfast included; Evening reception; Restaurant,250,62,Four Seasons Hotel New York Downtown,5,TriBeCa,8.9,580,Premier King with City View (1 king bed),1,0,Free WiFi; Spa; Pool; Restaurant; Fitness center,707,128,La Quinta Inn & Suites New York Times Square South,2,Midtown,7.2,1747,King Room (1 king bed),0,1,Free WiFi; Breakfast,97,134,Pod Brooklyn,3,"Williamsburg, Brooklyn",8.3,871,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar,110
94,fiveopt,94,1,36,Bryant Park Hotel,4,Midtown,8.5,1488,Deluxe King (1 king bed),0,0,Free WiFi; Fitness center,435,59,The Dominick Hotel,5,SoHo,8.8,1623,Deluxe King with City View (1 king bed),1,1,Free WiFi; Restaurant; Pool; Spa; City views,747,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.4,2293,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,291,136,The Bowery Hotel,4,East Village,8.7,923,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Fireplace lounge,617,141,The Greenwich Hotel,5,TriBeCa,9.4,524,Deluxe King (1 king bed),1,1,Free WiFi; Restaurant; Spa; Pool; Fitness center,939
95,fiveopt,95,1,49,The Hotel Chelsea,4,Chelsea,8.5,1267,King Room (1 king bed),1,0,Free WiFi; Restaurant; Concierge; Fitness center,387,62,Four Seasons Hotel New York Downtown,5,TriBeCa,9.1,519,Premier King with City View (1 king bed),0,1,Free WiFi; Spa; Pool; Restaurant; Fitness center,536,122,Park Hyatt New York,5,Midtown,8.9,866,Park King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1043,126,Ramada by Wyndham New York/Eastside,2,Midtown East,6.6,1817,Queen Room (1 queen bed),0,1,Free WiFi,94,153,The Renwick Hotel,4,Midtown East,8.3,897,King Room (1 king bed),1,1,Free WiFi; Restaurant; Bar,269
96,fiveopt,96,1,51,Nine Orchard,4,Lower East Side,9.1,688,King Room (1 king bed),0,0,Free WiFi; Restaurant; Spa,386,63,Baccarat Hotel and Residences New York,5,Midtown,9.1,694,Grand King (1 king bed),0,0,Free WiFi; Spa; Pool; Restaurant; Bar,1065,65,The William Vale,5,"Williamsburg, Brooklyn",9.0,2201,Vale King with Balcony (1 king bed),0,0,Free WiFi; Rooftop pool; Restaurant; Fitness center,392,117,Hyatt Centric Times Square New York,4,Times Square,8.1,2300,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,285,165,Hotel Le Bleu,3,"Park Slope, Brooklyn",8.1,544,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant,118
97,fiveopt,97,1,31,New Yorker by Lotte Hotels,4,Midtown,9.0,14856,Deluxe King (1 king bed),1,1,Free WiFi; Fitness center; Restaurant; Bar,362,33,MADE Hotel,4,Midtown,8.8,2055,King Room (1 king bed),0,0,Free WiFi; Rooftop bar; Allergy-free rooms,333,63,Baccarat Hotel and Residences New York,5,Midtown,9.4,690,Classic King (1 king bed),1,0,Free WiFi; Spa; Pool; Restaurant; Bar,1467,97,Courtyard by Marriott New York Downtown Manhattan,3,Financial District,7.8,1975,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant,293,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.0,2578,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,347
98,fiveopt,98,1,68,Hampton Inn Manhattan-Chelsea,3,Chelsea,8.3,2741,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,185,110,The Westin New York Grand Central,4,Midtown East,7.8,3261,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,289,124,"The Beekman, A Thompson Hotel",5,Financial District,8.7,1387,Turret Suite (1 king bed),1,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,576,139,The Standard High Line,4,Meatpacking District,8.4,2000,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar; Beer garden,446,167,Paper Factory Hotel,3,"Long Island City, Queens",8.1,584,Queen Room (1 queen bed),0,0,Free WiFi; Bar; Restaurant,187
99,fiveopt,99,1,6,Hotel Wolcott,2,Midtown,7.6,1617,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center,126,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.1,3466,Suite (1 king bed),0,1,Free WiFi; Breakfast; Fitness center,226,23,Hilton Garden Inn New York/West 35th Street,3,Midtown,8.1,2702,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Business center,212,101,Fairfield Inn & Suites New York Brooklyn,3,Brooklyn,7.8,1200,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,112,138,The Standard East Village,4,East Village,8.2,1300,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar,323
100,fiveopt,100,1,50,Ace Hotel Brooklyn,4,"Boerum Hill, Brooklyn",8.4,1209,Deluxe King (1 king bed),0,1,Free WiFi; Restaurant; Lobby bar,285,63,Baccarat Hotel and Residences New York,5,Midtown,9.0,713,Grand King (1 king bed),0,1,Free WiFi; Spa; Pool; Restaurant; Bar,1522,130,The Jane Hotel,2,West Village,7.1,2549,Standard Cabin (1 twin bed),1,0,Free WiFi; Bar; Ballroom,157,144,1 Hotel Central Park,5,Midtown,8.8,1204,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Spa; Fitness center,475,163,The Williamsburg Hotel,4,"Williamsburg, Brooklyn",8.2,814,King Room (1 king bed),0,0,Free WiFi; Pool; Restaurant; Bar,269
101,fiveopt,101,1,6,Hotel Wolcott,2,Midtown,7.4,1486,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,115,57,Sofitel New York,5,Midtown,8.7,2430,Superior King (1 king bed),1,0,Free WiFi; Restaurant; Spa; Fitness center,480,70,Hampton Inn Manhattan Grand Central,3,Midtown East,8.3,2349,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,281,94,EVEN Hotel New York - Times Square South,3,Midtown,8.4,1309,King Room (1 king bed),1,0,Free WiFi; Fitness center; In-room training zone,200,111,The Westin New York at Times Square,4,Times Square,8.0,3930,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Bar,381
102,fiveopt,102,1,29,Park Central Hotel New York,4,Midtown,7.8,4042,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,220,39,Motto by Hilton New York City Chelsea,4,Chelsea,8.8,1838,Flex Room (1 queen bed),0,0,Free WiFi; Fitness center,275,89,Crowne Plaza Times Square Manhattan,4,Times Square,7.4,4414,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,237,168,The Boro Hotel,4,"Long Island City, Queens",8.3,758,King Room (1 king bed),0,0,Free WiFi; Bar; Manhattan views,199,175,Conrad New York Midtown,5,Midtown,8.5,1733,King Suite (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,415
103,fiveopt,103,1,22,Hampton Inn Manhattan Times Square Central,3,Times Square,8.5,3814,Double Room (2 double beds),1,0,Free WiFi; Breakfast included; Fitness center,232,33,MADE Hotel,4,Midtown,8.9,2073,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Allergy-free rooms,353,37,NobleDEN Hotel,4,Little Italy,9.2,941,Deluxe Queen (1 queen bed),1,1,Free WiFi; Restaurant,316,109,W New York - Union Square,4,Union Square,8.2,1681,Wonderful King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,453,156,The Hoxton Williamsburg,4,"Williamsburg, Brooklyn",8.6,957,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Rooftop bar,232
104,fiveopt,104,1,17,The Hotel at Fifth Avenue,3,Midtown,8.2,1631,Standard Queen (1 queen bed),1,0,Free WiFi; Fitness center,191,37,NobleDEN Hotel,4,Little Italy,9.1,927,Deluxe King (1 king bed),0,1,Free WiFi; Restaurant,241,44,CIVILIAN Hotel,4,Midtown West,8.8,1347,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar,327,82,DoubleTree by Hilton New York Midtown Fifth Ave,4,Midtown,7.9,1791,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center,224,124,"The Beekman, A Thompson Hotel",5,Financial District,8.7,1456,Turret Suite (1 king bed),1,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,566
105,fiveopt,105,1,15,Millennium Broadway Times Square,3,Times Square,7.6,3557,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center; Restaurant,119,19,Romer Hell's Kitchen,3,Hell's Kitchen,8.1,661,Studio Queen (1 queen bed),1,0,Free WiFi; Fitness center,178,85,Holiday Inn New York City - Wall Street,3,Financial District,7.9,2197,King Room (1 king bed),1,0,Free WiFi; Fitness center,185,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.7,2295,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,213,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",7.9,880,Queen Room (1 queen bed),1,0,Free WiFi; Pool; Restaurant,200
106,fiveopt,106,1,17,The Hotel at Fifth Avenue,3,Midtown,8.1,1719,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center,190,37,NobleDEN Hotel,4,Little Italy,9.3,978,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant,346,48,Kimpton Theta New York,4,Times Square,8.2,818,Standard King (1 king bed),1,0,Free WiFi; Wine hour; Fitness center,285,86,Holiday Inn Express Manhattan Midtown West,3,Midtown West,7.9,2339,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,236,170,Renaissance New York Midtown Hotel,4,Midtown,7.9,2185,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,260
107,fiveopt,107,1,6,Hotel Wolcott,2,Midtown,7.8,1524,Standard Queen (1 queen bed),1,0,Free WiFi; Fitness center,127,83,Holiday Inn New York City - Times Square,3,Times Square,7.6,3556,King Room (1 king bed),1,1,Free WiFi; Fitness center,208,113,Sheraton Tribeca New York Hotel,4,TriBeCa,8.0,1456,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,298,136,The Bowery Hotel,4,East Village,8.7,838,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar; Fireplace lounge,361,149,Lotte New York Palace,5,Midtown East,8.2,2253,Deluxe King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,631
